Company,Ticker,Date,Title,Link,Positive_Score,Negative_Score,Neutral_Score,Overall_Sentiment,Open,High,Low,Close,Volume,Dividends,Stock Splits,1d_Return,3d_Return,7d_Return
Ambev S.A. ADR,ABEV,2024-09-03,Is Ambev S.A. (ABEV) The Best Alcohol Stock To Own According to Hedge Funds?,https://finance.yahoo.com/news/ambev-abev-best-alcohol-stock-024402398.html,0.1388382166624069,0.0094197634607553,0.8517420291900635,Neutral,2.289999961853028,2.309999942779541,2.259999990463257,2.2699999809265137,21464600,0.0,0.0,0.02202641089709445,0.026431693076513385,0.04405282179418912
Ambev S.A. ADR,ABEV,2024-08-23,Is the Options Market Predicting a Spike in Ambev (ABEV) Stock?,https://finance.yahoo.com/news/options-market-predicting-spike-ambev-131600126.html,0.3150748908519745,0.1714788377285003,0.5134462714195251,Neutral,2.380000114440918,2.4100000858306885,2.3499999046325684,2.400000095367432,36623000,0.0,0.0,,-0.004166662527455567,-0.05416671219799085
Ambev S.A. ADR,ABEV,2024-08-15,Analyst Report: Ambev S.A.,https://finance.yahoo.com/m/f230d3c0-c77a-3908-b618-899c099a7cac/analyst-report%3A-ambev-s.a..html,0.0448816306889057,0.0246596839278936,0.930458664894104,Neutral,2.3499999046325684,2.430000066757202,2.3399999141693115,2.4100000858306885,92199600,0.0,0.0,-0.008298746976857507,-0.008298746976857507,-0.03319508683629735
Ambev S.A. ADR,ABEV,2024-08-12,Ambev S.A. (ABEV): Hedge Funds Are Bullish on This Spirits Stock Right Now,https://finance.yahoo.com/news/ambev-abev-hedge-funds-bullish-143603603.html,0.4118354320526123,0.0708292573690414,0.5173352956771851,Neutral,2.289999961853028,2.299999952316284,2.25,2.259999990463257,21073300,0.0,0.0,0.030973421919550104,0.06637172389398316,0.07079649845391889
Ambev S.A. ADR,ABEV,2024-08-01,Analyst Report: Ambev S.A.,https://finance.yahoo.com/m/6c6aaf82-1762-31c5-9646-9a61d89a9b48/analyst-report%3A-ambev-s.a..html,0.0448816306889057,0.0246596839278936,0.930458664894104,Neutral,2.0999999046325684,2.109999895095825,2.049999952316284,2.049999952316284,18646100,0.0,0.0,0.009756088483765968,0.009756088483765968,0.09756100113940813
Ambev S.A. ADR,ABEV,2024-07-30,Hidden Gems: 3 Overlooked Dividend Stocks in Emerging Markets,https://finance.yahoo.com/news/hidden-gems-3-overlooked-dividend-112700096.html,0.0635095760226249,0.0397237837314605,0.8967666625976562,Neutral,2.0899999141693115,2.0999999046325684,2.0799999237060547,2.0899999141693115,13081800,0.0,0.0,-0.014354053886023399,-0.009569369257348859,0.01913885259057757
Ambev S.A. ADR,ABEV,2024-07-23,Ambev S.A. (ABEV): Did This Long-term Penny Stock Receive a Good Rating from Analysts?,https://finance.yahoo.com/news/ambev-abev-did-long-term-104224278.html,0.927443027496338,0.0090528381988406,0.0635041296482086,Positive,2.130000114440918,2.140000104904175,2.109999895095825,2.119999885559082,7993400,0.0,0.0,-0.00943395377648304,-0.004716976888241464,-0.014150930664724504
Ambev S.A. ADR,ABEV,2024-07-11,3 Dirt-Cheap Stocks Trading at Half Their Worth,https://investorplace.com/2024/07/3-dirt-cheap-stocks-trading-at-half-their-worth/,0.1129402667284011,0.7282586693763733,0.1588010489940643,Negative,2.140000104904175,2.1700000762939453,2.119999885559082,2.140000104904175,32931800,0.0,0.0,0.004672892510771742,0.004672892510771742,-0.018691681453631315
Ambev S.A. ADR,ABEV,2024-07-09,The 7 Most Undervalued Under-$10 Stocks to Buy in July 2024,https://investorplace.com/2024/07/the-7-most-undervalued-under-10-stocks-to-buy-in-july-2024/,0.1013319790363311,0.1474456340074539,0.7512223720550537,Neutral,2.069999933242798,2.0899999141693115,2.059999942779541,2.0799999237060547,11042400,0.0,0.0,0.0192307515962582,0.033653929917773384,0.048076993614966756
Ambev S.A. ADR,ABEV,2024-05-31,12 Most Undervalued Penny Stocks to Buy Now,https://www.insidermonkey.com/blog/12-most-undervalued-penny-stocks-to-buy-now-1300042/,0.2014044225215912,0.0947270020842552,0.703868567943573,Neutral,2.2100000381469727,2.2300000190734863,2.1700000762939453,2.220000028610229,23228400,0.0,0.0,,-0.013513500451867388,-0.022522500753112573
Ambev S.A. ADR,ABEV,2024-05-22,The Bargain Stock Blitz: 7 Companies Ready to Stun the Street,https://investorplace.com/2024/05/the-bargain-stock-blitz-7-companies-ready-to-stun-the-street/,0.0590686686336994,0.1038130894303321,0.8371182680130005,Neutral,2.319999933242798,2.3299999237060547,2.2799999713897705,2.299999952316284,48089000,0.0,0.0,-0.008695644061371466,-0.004347822030685511,-0.04347822030685711
Ambev S.A. ADR,ABEV,2024-05-15,7 Cheap Value Stocks to Buy Now: May 2024,https://investorplace.com/2024/05/7-cheap-value-stocks-to-buy-now-may-2024/,0.0392591804265975,0.0257958564907312,0.934944987297058,Neutral,2.369999885559082,2.4100000858306885,2.3499999046325684,2.390000104904175,16055900,0.0,0.0,0.0,0.0125522887334657,-0.037656965957120425
Ambev S.A. ADR,ABEV,2024-05-10,Ambev S.A. (NYSE:ABEV) Q1 2024 Earnings Call Transcript,https://www.insidermonkey.com/blog/ambev-s-a-nyseabev-q1-2024-earnings-call-transcript-1300659/,0.0304330773651599,0.024159712716937,0.9454072713851928,Neutral,2.3399999141693115,2.3399999141693115,2.319999933242798,2.319999933242798,16006800,0.0,0.0,,0.004310340840949722,0.043103511176128206
Ambev S.A. ADR,ABEV,2024-05-09,"Barclays Adjusts Price Target on Ambev to $2.50 From $3, Keeps Equalweight Rating",https://finance.yahoo.com/news/barclays-adjusts-price-target-ambev-151739348.html,0.8360620737075806,0.0443625599145889,0.1195753440260887,Positive,2.3399999141693115,2.359999895095825,2.319999933242798,2.3399999141693115,7472500,0.0,0.0,-0.008547000709448138,-0.008547000709448138,0.02136760366190571
Ambev S.A. ADR,ABEV,2024-05-08,"ABEV Stock Earnings: Ambev Beats EPS, Beats Revenue for Q1 2024",https://investorplace.com/earning-results/2024/05/abev-stock-earnings-ambev-for-q1-of-2024/,0.7977342009544373,0.031827762722969,0.1704381257295608,Positive,2.359999895095825,2.390000104904175,2.319999933242798,2.369999885559082,14939700,0.0,0.0,-0.012658216387505639,-0.021097027312509398,0.00843891152356524
Ambev S.A. ADR,ABEV,2024-04-15,15 Most Populated Cities in South America,https://www.insidermonkey.com/blog/15-most-populated-cities-in-south-america-1288719/,0.0445602610707283,0.0374199301004409,0.9180198311805724,Neutral,2.319999933242798,2.3399999141693115,2.299999952316284,2.319999933242798,15963400,0.0,0.0,-0.02586204504569778,-0.017241363363798556,-0.008620681681899223
Ambev S.A. ADR,ABEV,2024-04-11,Wall Street Favorites: 3 Stocks With Strong Buy Ratings for April 2024,https://finance.yahoo.com/news/wall-street-favorites-3-stocks-100000865.html,0.4437674880027771,0.0166140999644994,0.5396184325218201,Neutral,2.380000114440918,2.4100000858306885,2.369999885559082,2.400000095367432,15099700,0.0,0.0,-0.02083341197834776,-0.02083341197834776,-0.05000004967053551
Ambev S.A. ADR,ABEV,2024-03-21,Sportradar Group AG (NASDAQ:SRAD) Q4 2023 Earnings Call Transcript,https://www.insidermonkey.com/blog/sportradar-group-ag-nasdaqsrad-q4-2023-earnings-call-transcript-1278042/,0.0513640828430652,0.0225561745464801,0.9260797500610352,Neutral,2.5,2.509999990463257,2.4800000190734863,2.490000009536743,17703200,0.0,0.0,-0.008032120823258548,-0.008032120823258548,-0.004016060411629163
Ambev S.A. ADR,ABEV,2024-03-20,Top 5 Sugar Companies and Manufactures in the World,https://www.insidermonkey.com/blog/top-5-sugar-companies-and-manufactures-in-the-world-1277155/,0.1636199504137039,0.0115051921457052,0.8248748779296875,Neutral,2.470000028610229,2.5,2.4600000381469727,2.5,7377900,0.0,0.0,-0.003999996185302779,-0.011999988555908336,-0.007999992370605447
Ambev S.A. ADR,ABEV,2024-03-11,AMBEV'S 2023 ANNUAL REPORT ON FORM 20-F AVAILABLE ON OUR WEBSITE,https://www.prnewswire.com/news-releases/ambevs-2023-annual-report-on-form-20-f-available-on-our-website-302085909.html,0.0232563093304634,0.0251599419862031,0.9515836834907532,Neutral,2.559999942779541,2.5799999237060547,2.5299999713897705,2.549999952316284,5940500,0.0,0.0,0.003921564960883028,-0.011764694882648974,-0.015686259843532002
Ambev S.A. ADR,ABEV,2024-03-01,Ambev S.A. (NYSE:ABEV) Q4 2023 Earnings Call Transcript,https://www.insidermonkey.com/blog/ambev-s-a-nyseabev-q4-2023-earnings-call-transcript-1268143/,0.0305390823632478,0.0226785354316234,0.9467823505401612,Neutral,2.5,2.509999990463257,2.440000057220459,2.4800000190734863,40184500,0.0,0.0,,0.008064508376086854,0.032258033504347416
Ambev S.A. ADR,ABEV,2024-02-29,Analyst Report: Ambev S.A.,https://finance.yahoo.com/m/c5136dc2-dbde-3022-ab18-df543a76c319/analyst-report%3A-ambev-s.a..html,0.0448816306889057,0.0246596839278936,0.930458664894104,Neutral,2.509999990463257,2.5299999713897705,2.4600000381469727,2.490000009536743,26744300,0.0,0.0,-0.004016060411629163,-0.004016060411629163,0.0240963624697752
Ambev S.A. ADR,ABEV,2024-02-28,11 Best Brewery and Distillery Stocks to Buy Now,https://finance.yahoo.com/news/11-best-brewery-distillery-stocks-095702197.html,0.1110208556056022,0.0141664845868945,0.8748126029968262,Neutral,2.680000066757202,2.720000028610229,2.6600000858306885,2.690000057220459,13557700,0.0,0.0,-0.07434945852394259,-0.07806692701856777,-0.05576211605081682
Ambev S.A. ADR,ABEV,2024-02-22,Goldman Sachs Penny Stocks: Top 12 Stock Picks,https://finance.yahoo.com/news/goldman-sachs-penny-stocks-top-100933448.html,0.031998161226511,0.0357614159584045,0.9322404265403748,Neutral,2.5799999237060547,2.609999895095825,2.569999933242798,2.5899999141693115,9525000,0.0,0.0,-0.011583000920443065,-0.011583000920443065,-0.03861000306814344
Ambev S.A. ADR,ABEV,2024-02-21,3 Stocks With 5% Dividend Yields for $20 (or Less),https://finance.yahoo.com/news/3-stocks-5-dividend-yields-113500022.html,0.0704169124364852,0.0248896181583404,0.9046934247016908,Neutral,2.5799999237060547,2.5999999046325684,2.559999942779541,2.5999999046325684,12866700,0.0,0.0,-0.0038461503192516178,-0.015384601277006582,0.03461544457272181
Ambev S.A. ADR,ABEV,2024-02-14,20 Most Valuable Latin American Companies,https://finance.yahoo.com/news/20-most-valuable-latin-american-211309846.html,0.2027325183153152,0.020886031910777,0.7763814926147461,Neutral,2.5199999809265137,2.5799999237060547,2.5199999809265137,2.559999942779541,8892800,0.0,0.0,0.0,-0.003906246362021082,0.01562498544808455
Ambev S.A. ADR,ABEV,2024-01-31,11 Best Wine Stocks to Buy Now,https://finance.yahoo.com/news/11-best-wine-stocks-buy-195930322.html,0.0735210627317428,0.0240165796130895,0.902462363243103,Neutral,2.650000095367432,2.6600000858306885,2.609999895095825,2.619999885559082,8409100,0.0,0.0,0.007633671839197387,0.0038168814193295653,-0.011450371259603576
Ambev S.A. ADR,ABEV,2024-01-30,Wall Street Favorites: 3 Penny Stocks With Strong Buy Ratings for January 2024,https://finance.yahoo.com/news/wall-street-favorites-3-penny-184806292.html,0.6189961433410645,0.0223185326904058,0.3586852848529815,Positive,2.640000104904175,2.650000095367432,2.609999895095825,2.630000114440918,6632900,0.0,0.0,-0.003802368230680364,0.0,0.007604555154464565
Ambev S.A. ADR,ABEV,2024-01-17,7 Steadfast Stocks That Are Unaffected by Interest Rate Changes,https://finance.yahoo.com/news/7-steadfast-stocks-unaffected-interest-142637287.html,0.0363343022763729,0.0490592084825038,0.914606511592865,Neutral,2.7100000381469727,2.7300000190734863,2.690000057220459,2.690000057220459,7541200,0.0,0.0,0.0037174684946250647,0.0037174684946250647,-0.018587342473125656
Ambev S.A. ADR,ABEV,2023-12-21,Ambev SA's Dividend Analysis,https://finance.yahoo.com/news/ambev-sas-dividend-analysis-100344888.html,0.0363909937441349,0.0249342489987611,0.938674807548523,Neutral,2.791993374047392,2.791993374047392,2.754007106604464,2.773000240325928,5077300,0.0,0.0,0.013342841416149387,0.013342841416149387,0.016949040333060106
Ambev S.A. ADR,ABEV,2023-11-17,20 Most Valuable Brazilian Companies Heading into 2024,https://finance.yahoo.com/news/20-most-valuable-brazilian-companies-143230822.html,0.1576366871595382,0.0199574939906597,0.8224058747291565,Neutral,2.630551338195801,2.64954447066959,2.6115582057220115,2.630551338195801,19032600,0.0,0.0,,0.003610151493673941,-0.007220212352895716
Ambev S.A. ADR,ABEV,2023-11-01,Ambev S.A. (NYSE:ABEV) Q3 2023 Earnings Call Transcript,https://www.insidermonkey.com/blog/ambev-s-a-nyseabev-q3-2023-earnings-call-transcript-1214896/,0.0309425219893455,0.0222819726914167,0.946775496006012,Neutral,2.4026335639388776,2.459612962352605,2.393136997536589,2.4501163959503174,17322100,0.0,0.0,0.01162794884227969,0.04651169806003641,0.06976749843551322
Ambev S.A. ADR,ABEV,2023-10-31,"Lower costs, FX boost Brazil's Ambev net profit in Q3 as sales dip",https://finance.yahoo.com/news/lower-costs-fx-boost-brazils-143521541.html,0.954862117767334,0.0191921722143888,0.0259457435458898,Positive,2.3931371001825745,2.4026336669921875,2.355150832944123,2.4026336669921875,15994200,0.0,0.0,0.01976278348649485,0.06719368216488109,0.09486159889241019
